"arc_length","Figure 17","Figure 18","Figure 19"
0,0.716886,0.140904,0.615433
0.0003,0.716875,0.140887,0.615422
0.0006,0.716863,0.14087,0.615412
0.0009,0.716852,0.140852,0.615402
0.0012,0.716841,0.140835,0.615391
0.0015,0.716829,0.140818,0.615381
0.0018,0.716818,0.140801,0.615371
0.0021,0.716806,0.140783,0.61536
0.0024,0.716795,0.140766,0.61535
0.0027,0.716784,0.140749,0.615339
0.003,0.716772,0.140732,0.615329
0.0033,0.716761,0.140715,0.615319
0.0036,0.71675,0.140697,0.615308
0.0039,0.716738,0.14068,0.615298
0.0042,0.716727,0.140663,0.615288
0.0045,0.716715,0.140646,0.615277
0.0048,0.716704,0.140628,0.615267
0.0051,0.716685,0.1406,0.61525
0.0054,0.716651,0.140549,0.615219
0.0057,0.716616,0.140498,0.615187
0.006,0.716582,0.140447,0.615156
0.0063,0.716547,0.140397,0.615125
0.0066,0.716513,0.140346,0.615094
0.0069,0.716478,0.140295,0.615063
0.0072,0.716444,0.140244,0.615032
0.0075,0.716409,0.140193,0.615
0.0078,0.716375,0.140142,0.614969
0.0081,0.71634,0.140092,0.614938
0.0084,0.716306,0.140041,0.614907
0.0087,0.716271,0.13999,0.614876
0.009,0.716237,0.139939,0.614844
0.0093,0.716202,0.139888,0.614813
0.0096,0.716168,0.139837,0.614782
0.0099,0.716133,0.139786,0.614751
0.0102,0.716083,0.139715,0.614706
0.0105,0.716025,0.139632,0.614653
0.0108,0.715966,0.13955,0.614601
0.0111,0.715908,0.139468,0.614549
0.0114,0.71585,0.139386,0.614496
0.0117,0.715791,0.139304,0.614444
0.012,0.715733,0.139221,0.614392
0.0123,0.715674,0.139139,0.614339
0.0126,0.715616,0.139057,0.614287
0.0129,0.715558,0.138975,0.614235
0.0132,0.715499,0.138892,0.614182
0.0135,0.715441,0.13881,0.61413
0.0138,0.715383,0.138728,0.614078
0.0141,0.715324,0.138646,0.614025
0.0144,0.715266,0.138563,0.613973
0.0147,0.715207,0.138481,0.613921
0.015,0.715149,0.138399,0.613868
0.0153,0.715066,0.138289,0.613795
0.0156,0.714983,0.138178,0.613721
0.0159,0.714899,0.138068,0.613648
0.0162,0.714816,0.137958,0.613574
0.0165,0.714733,0.137848,0.613501
0.0168,0.71465,0.137737,0.613427
0.0171,0.714567,0.137627,0.613354
0.0174,0.714484,0.137517,0.61328
0.0177,0.7144,0.137407,0.613207
0.018,0.714317,0.137296,0.613133
0.0183,0.714234,0.137186,0.61306
0.0186,0.714151,0.137076,0.612986
0.0189,0.714068,0.136966,0.612912
0.0192,0.713985,0.136855,0.612839
0.0195,0.713901,0.136745,0.612765
0.0198,0.713818,0.136635,0.612692
0.0201,0.713726,0.136517,0.612611
0.0204,0.713618,0.136382,0.612517
0.0207,0.713509,0.136248,0.612422
0.021,0.7134,0.136114,0.612327
0.0213,0.713291,0.13598,0.612233
0.0216,0.713182,0.135845,0.612138
0.0219,0.713073,0.135711,0.612043
0.0222,0.712964,0.135577,0.611949
0.0225,0.712856,0.135442,0.611854
0.0228,0.712747,0.135308,0.61176
0.0231,0.712638,0.135174,0.611665
0.0234,0.712529,0.135039,0.61157
0.0237,0.71242,0.134905,0.611476
0.024,0.712311,0.134771,0.611381
0.0243,0.712202,0.134637,0.611287
0.0246,0.712094,0.134502,0.611192
0.0249,0.711985,0.134368,0.611097
0.0252,0.711858,0.13422,0.610989
0.0255,0.711723,0.134066,0.610874
0.0258,0.711587,0.133912,0.610758
0.0261,0.711451,0.133758,0.610643
0.0264,0.711316,0.133603,0.610528
0.0267,0.71118,0.133449,0.610412
0.027,0.711045,0.133295,0.610297
0.0273,0.710909,0.133141,0.610182
0.0276,0.710774,0.132986,0.610066
0.0279,0.710638,0.132832,0.609951
0.0282,0.710503,0.132678,0.609836
0.0285,0.710367,0.132524,0.60972
0.0288,0.710231,0.132369,0.609605
0.0291,0.710096,0.132215,0.60949
0.0294,0.70996,0.132061,0.609374
0.0297,0.709825,0.131907,0.609259
0.03,0.709689,0.131752,0.609143
0.0303,0.709526,0.131582,0.609008
0.0306,0.709363,0.131411,0.608872
0.0309,0.709199,0.131241,0.608737
0.0312,0.709036,0.131071,0.608601
0.0315,0.708873,0.1309,0.608466
0.0318,0.708709,0.13073,0.60833
0.0321,0.708546,0.13056,0.608195
0.0324,0.708383,0.130389,0.608059
0.0327,0.708219,0.130219,0.607923
0.033,0.708056,0.130048,0.607788
0.0333,0.707893,0.129878,0.607652
0.0336,0.707729,0.129708,0.607517
0.0339,0.707566,0.129537,0.607381
0.0342,0.707403,0.129367,0.607246
0.0345,0.707239,0.129196,0.60711
0.0348,0.707076,0.129026,0.606974
0.0351,0.706903,0.128851,0.606832
0.0354,0.706711,0.128668,0.606677
0.0357,0.706518,0.128485,0.606522
0.036,0.706326,0.128302,0.606367
0.0363,0.706134,0.128119,0.606212
0.0366,0.705942,0.127936,0.606057
0.0369,0.705749,0.127753,0.605902
0.0372,0.705557,0.12757,0.605747
0.0375,0.705365,0.127387,0.605591
0.0378,0.705173,0.127204,0.605436
0.0381,0.70498,0.12702,0.605281
0.0384,0.704788,0.126837,0.605126
0.0387,0.704596,0.126654,0.604971
0.039,0.704404,0.126471,0.604816
0.0393,0.704211,0.126288,0.604661
0.0396,0.704019,0.126105,0.604506
0.0399,0.703827,0.125922,0.60435
0.0402,0.703614,0.125732,0.604183
0.0405,0.703392,0.125539,0.604009
0.0408,0.70317,0.125346,0.603835
0.0411,0.702947,0.125154,0.603662
0.0414,0.702725,0.124961,0.603488
0.0417,0.702502,0.124768,0.603314
0.042,0.70228,0.124575,0.60314
0.0423,0.702057,0.124382,0.602966
0.0426,0.701835,0.124189,0.602793
0.0429,0.701612,0.123996,0.602619
0.0432,0.70139,0.123804,0.602445
0.0435,0.701168,0.123611,0.602271
0.0438,0.700945,0.123418,0.602097
0.0441,0.700723,0.123225,0.601924
0.0444,0.7005,0.123032,0.60175
0.0447,0.700278,0.122839,0.601576
0.045,0.700055,0.122647,0.601402
0.0453,0.699801,0.122446,0.601211
0.0456,0.699547,0.122246,0.601019
0.0459,0.699293,0.122046,0.600828
0.0462,0.699039,0.121846,0.600636
0.0465,0.698785,0.121645,0.600445
0.0468,0.698531,0.121445,0.600253
0.0471,0.698277,0.121245,0.600062
0.0474,0.698023,0.121045,0.59987
0.0477,0.697769,0.120845,0.599679
0.048,0.697515,0.120644,0.599487
0.0483,0.697261,0.120444,0.599296
0.0486,0.697007,0.120244,0.599104
0.0489,0.696753,0.120044,0.598912
0.0492,0.696499,0.119843,0.598721
0.0495,0.696245,0.119643,0.598529
0.0498,0.695991,0.119443,0.598338
0.0501,0.695726,0.119241,0.598141
0.0504,0.695439,0.119035,0.597933
0.0507,0.695152,0.11883,0.597725
0.051,0.694865,0.118624,0.597516
0.0513,0.694578,0.118418,0.597308
0.0516,0.694291,0.118213,0.5971
0.0519,0.694004,0.118007,0.596892
0.0522,0.693717,0.117802,0.596684
0.0525,0.69343,0.117596,0.596476
0.0528,0.693143,0.11739,0.596267
0.0531,0.692856,0.117185,0.596059
0.0534,0.692569,0.116979,0.595851
0.0537,0.692282,0.116774,0.595643
0.054,0.691995,0.116568,0.595435
0.0543,0.691708,0.116362,0.595227
0.0546,0.691421,0.116157,0.595019
0.0549,0.691134,0.115951,0.59481
0.0552,0.690824,0.115743,0.594592
0.0555,0.690503,0.115533,0.594368
0.0558,0.690182,0.115324,0.594145
0.0561,0.68986,0.115115,0.593921
0.0564,0.689539,0.114905,0.593697
0.0567,0.689218,0.114696,0.593474
0.057,0.688896,0.114486,0.59325
0.0573,0.688575,0.114277,0.593026
0.0576,0.688253,0.114068,0.592803
0.0579,0.687932,0.113858,0.592579
0.0582,0.687611,0.113649,0.592356
0.0585,0.687289,0.113439,0.592132
0.0588,0.686968,0.11323,0.591908
0.0591,0.686646,0.11302,0.591685
0.0594,0.686325,0.112811,0.591461
0.0597,0.686004,0.112602,0.591237
0.06,0.685682,0.112392,0.591014
0.0603,0.685325,0.11218,0.590776
0.0606,0.684968,0.111968,0.590538
0.0609,0.684611,0.111756,0.5903
0.0612,0.684253,0.111544,0.590062
0.0615,0.683896,0.111332,0.589824
0.0618,0.683539,0.111121,0.589586
0.0621,0.683182,0.110909,0.589348
0.0624,0.682824,0.110697,0.58911
0.0627,0.682467,0.110485,0.588872
0.063,0.68211,0.110273,0.588634
0.0633,0.681753,0.110061,0.588396
0.0636,0.681395,0.109849,0.588158
0.0639,0.681038,0.109637,0.58792
0.0642,0.680681,0.109425,0.587682
0.0645,0.680324,0.109213,0.587444
0.0648,0.679966,0.109001,0.587206
0.0651,0.679597,0.108789,0.586964
0.0654,0.679202,0.108575,0.586713
0.0657,0.678808,0.108362,0.586462
0.066,0.678414,0.108149,0.586211
0.0663,0.678019,0.107935,0.58596
0.0666,0.677625,0.107722,0.585709
0.0669,0.677231,0.107508,0.585458
0.0672,0.676836,0.107295,0.585207
0.0675,0.676442,0.107082,0.584956
0.0678,0.676047,0.106868,0.584705
0.0681,0.675653,0.106655,0.584454
0.0684,0.675259,0.106442,0.584202
0.0687,0.674864,0.106228,0.583951
0.069,0.67447,0.106015,0.5837
0.0693,0.674075,0.105802,0.583449
0.0696,0.673681,0.105588,0.583198
0.0699,0.673287,0.105375,0.582947
0.0702,0.672867,0.105161,0.582688
0.0705,0.672434,0.104947,0.582425
0.0708,0.672002,0.104734,0.582162
0.0711,0.671569,0.10452,0.581899
0.0714,0.671137,0.104306,0.581637
0.0717,0.670704,0.104092,0.581374
0.072,0.670272,0.103878,0.581111
0.0723,0.669839,0.103665,0.580848
0.0726,0.669406,0.103451,0.580585
0.0729,0.668974,0.103237,0.580322
0.0732,0.668541,0.103023,0.580059
0.0735,0.668109,0.10281,0.579796
0.0738,0.667676,0.102596,0.579533
0.0741,0.667244,0.102382,0.57927
0.0744,0.666811,0.102168,0.579007
0.0747,0.666379,0.101954,0.578744
0.075,0.665946,0.101741,0.578481
0.0753,0.665475,0.101527,0.578208
0.0756,0.665003,0.101314,0.577934
0.0759,0.664532,0.101101,0.577661
0.0762,0.664061,0.100887,0.577387
0.0765,0.663589,0.100674,0.577113
0.0768,0.663118,0.100461,0.57684
0.0771,0.662646,0.100247,0.576566
0.0774,0.662175,0.100034,0.576292
0.0777,0.661704,0.0998205,0.576019
0.078,0.661232,0.0996072,0.575745
0.0783,0.660761,0.0993938,0.575472
0.0786,0.66029,0.0991805,0.575198
0.0789,0.659818,0.0989672,0.574924
0.0792,0.659347,0.0987538,0.574651
0.0795,0.658876,0.0985405,0.574377
0.0798,0.658404,0.0983272,0.574103
0.0801,0.65792,0.0981143,0.573827
0.0804,0.65741,0.0979022,0.573543
0.0807,0.6569,0.0976902,0.57326
0.081,0.656389,0.0974782,0.572977
0.0813,0.655879,0.0972662,0.572694
0.0816,0.655369,0.0970542,0.572411
0.0819,0.654859,0.0968422,0.572127
0.0822,0.654349,0.0966302,0.571844
0.0825,0.653838,0.0964182,0.571561
0.0828,0.653328,0.0962062,0.571278
0.0831,0.652818,0.0959942,0.570994
0.0834,0.652308,0.0957822,0.570711
0.0837,0.651798,0.0955702,0.570428
0.084,0.651288,0.0953582,0.570145
0.0843,0.650777,0.0951462,0.569862
0.0846,0.650267,0.0949342,0.569578
0.0849,0.649757,0.0947221,0.569295
0.0852,0.649221,0.0945117,0.569006
0.0855,0.648673,0.0943019,0.568715
0.0858,0.648125,0.0940922,0.568423
